vx_des_mean,vx_meas_mean,vx_error_mean,vx_error_rmse,vx_error_mae,vx_error_max_abs,body_z_des_mean,body_z_meas_mean,body_z_error_mean,body_z_error_rmse,body_z_error_mae,body_z_error_max_abs,roll0_deg,roll_mean_delta_deg,roll_std_delta_deg,roll_min_delta_deg,roll_max_delta_deg,roll_range_deg,roll_delta_max_abs_deg,pitch0_deg,pitch_mean_delta_deg,pitch_std_delta_deg,pitch_min_delta_deg,pitch_max_delta_deg,pitch_range_deg,pitch_delta_max_abs_deg,min_base_z,max_base_z,max_abs_roll_deg_global,max_abs_pitch_deg_global,trial_name,sweep_name,sweep_value,success,failure_reason,final_base_x,elapsed_wall_s,max_contact_force_n,mean_mpc_update_ms,mean_mpc_solve_ms,x_vel_des_cfg,z_pos_des_cfg,height_swing_cfg,gait_hz_cfg,gait_duty_cfg,pitch_ref_deg_cfg
0.5,0.4878617917396706,-0.01213820826032942,0.06815061346608929,0.052970040629169844,0.45595589922365926,0.31,0.34102848202073544,0.03102848202073544,0.03122574985805387,0.03102848202073544,0.04464964592877002,0.05516320851044592,-0.28855603842564553,0.5798704924194048,-3.5310678282564862,0.9074042970489126,4.438472125305399,3.5310678282564862,1.2875942101713982,-2.821266451024016,0.7872541850962694,-4.458277445498053,1.2862082211233565,5.74448566662141,4.458277445498053,0.27,0.3607814848280377,3.4759046197460406,3.1706832353266554,step_height_00_step_height_0p0200,step_height,0.02,1,none,2.469595182038073,19.10366771400004,471.78014717993466,3.963483665736151,5.55060856286218,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.49146150867594646,-0.008538491324053528,0.0715167621948984,0.05437622146891024,0.45595589922365926,0.31,0.34199190865039986,0.03199190865039993,0.03226946398051172,0.03199190865039993,0.04503569005957264,0.05516320851044592,0.27933719417086433,1.086807560004041,-3.5310678282564862,5.558246385623149,9.089314213879636,5.558246385623149,1.2875942101713982,-2.8316546871106176,0.8443753093143334,-4.714407584885913,1.2862082211233565,6.000615806009269,4.714407584885913,0.27,0.36140875213882834,5.613409594133595,3.4268133747145146,step_height_01_step_height_0p0422,step_height,0.042222222222222223,1,none,2.488720342909763,22.018513029999667,466.6329802392286,5.440523697151158,7.229268008559302,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.5262365815627987,0.026236581562798712,0.12241234997417276,0.08288209161658228,0.45595589922365926,0.31,0.3402752858031431,0.030275285803143145,0.031235710691975938,0.030275285803143145,0.05599822658447523,0.05516320851044592,1.7553131060511513,4.119447968204451,-10.628933977319774,17.57220652377843,28.2011405010982,17.57220652377843,1.2875942101713982,-2.7285784018961845,2.3037731615398047,-6.73023976425621,4.781288512747929,11.511528277004139,6.73023976425621,0.27,0.3865021368696227,17.627369732288876,8.788046787327632,step_height_02_step_height_0p0644,step_height,0.06444444444444444,1,none,2.8846782541449274,17.530761105999773,859.3252934892746,3.846935059991665,5.994436151436925,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.538804927814999,0.03880492781499898,0.14452461608243394,0.09477417257106596,0.45595589922365926,0.31000000000000005,0.34217824793710766,0.0321782479371077,0.0326354231131333,0.0321782479371077,0.04821111296240754,0.05516320851044592,-4.070443973319404,7.276244448049415,-34.08483266170298,2.3627180437254736,36.447550705428455,34.08483266170298,1.2875942101713982,-1.2919150198308476,2.899068378715572,-4.2035131425974015,15.58076652998525,19.78427967258265,15.58076652998525,0.27,0.35821111296240754,35.46035874510791,17.06655377783209,step_height_03_step_height_0p0867,step_height,0.08666666666666667,0,roll_limit,1.2070593929689186,8.915073632000713,485.408151347941,4.114506086414532,6.305654845669374,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.4331657942282367,-0.06683420577176327,0.1956391575866601,0.13252186689146095,0.6993618256665501,0.31,0.33284059690558637,0.022840596905586402,0.026910706382151185,0.024078610353147047,0.04464964592877002,0.05516320851044592,-5.104571512050909,7.4202160004744755,-33.66353745628556,6.01412310845084,39.6776605647364,33.66353745628556,1.2875942101713982,-1.9771784645939734,6.505016198881055,-13.709039797551764,17.46445434850571,31.173494146057475,17.46445434850571,0.27,0.35464964592877,35.2073689670119,18.75204855867711,step_height_04_step_height_0p1089,step_height,0.1088888888888889,0,roll_limit,1.3752223670422463,11.734693211999911,1253.2286490471868,4.320487559829217,7.133956468903903,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.36084844457572507,-0.13915155542427488,0.2685944519140371,0.16768906796294444,0.7526715407667317,0.31,0.3346638351696984,0.02466383516969836,0.029927705716458072,0.027862366106527647,0.04464964592877002,0.05516320851044592,2.33798968157964,6.763114209999383,-3.5310678282564862,34.679575444871276,38.210643273127765,34.679575444871276,1.2875942101713982,0.6893024137624995,5.95553362383512,-4.2035131425974015,14.55239907017987,18.75591221277727,14.55239907017987,0.27,0.35464964592877,35.506813058359214,15.839993280351269,step_height_05_step_height_0p1311,step_height,0.13111111111111112,0,roll_limit,0.7591445706942254,10.573170043000573,1255.6826155307122,5.117004696770774,7.647550535476776,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.3974189874518501,-0.10258101254814993,0.21279235773995295,0.132556183149221,0.6935789202990332,0.31000000000000005,0.3405385577586563,0.030538557758656364,0.03226707560925944,0.03073591685623221,0.05109672057866049,0.05516320851044592,1.3739972335804156,4.879018770688114,-3.5310678282564862,31.875161248434853,35.40622907669134,31.875161248434853,1.2875942101713982,-0.20334173780860146,5.216294712277682,-5.036720408734208,15.825614723767051,20.862335132501258,15.825614723767051,0.27,0.3610967205786605,35.07829029747815,17.113208933938452,step_height_06_step_height_0p1533,step_height,0.15333333333333332,0,roll_limit,0.7937410280073092,8.51674866600024,957.066026872146,4.092331460039229,6.785114146623528,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.2892955868867904,-0.21070441311320953,0.3572902303099174,0.23290617193527152,0.8703803690315446,0.30999999999999994,0.3373789972224268,0.027378997222426784,0.03248568785935824,0.029547341915216924,0.06012377592984308,0.05516320851044592,1.8214461337789785,12.015244098267178,-33.061651886959794,25.500420823664708,58.562072710624506,33.061651886959794,1.2875942101713982,-0.10861720659849029,5.365844052071231,-7.009516906350225,17.007745597108695,24.01726250345892,17.007745597108695,0.27,0.3701237759298431,35.23298321270347,18.295339807280094,step_height_07_step_height_0p1756,step_height,0.17555555555555555,0,roll_limit,0.7799743330917491,10.573892489000173,963.3814330579961,4.497309777177535,7.0939923804337965,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.3793314747136871,-0.1206685252863129,0.23364340686142832,0.14716838105409397,0.7969701546415355,0.31,0.33980647589852836,0.02980647589852839,0.030798784807190064,0.02984247842616067,0.04464964592877002,0.05516320851044592,1.4825482547331017,6.688001761589817,-7.225015307750965,33.403090985847626,40.62810629359859,33.403090985847626,1.2875942101713982,-1.3840796902717187,1.9898070262449137,-4.2035131425974015,4.432661855947978,8.636174998545378,4.432661855947978,0.27,0.35464964592877,35.915763638278946,5.720256066119376,step_height_08_step_height_0p1978,step_height,0.19777777777777777,0,roll_limit,0.8705231455983016,9.149758854000538,1321.3768818789945,4.060615554211047,6.33809254821858,0.5,0.31,0.19,3.0,0.75,-5.0
0.5,0.24076013707351154,-0.25923986292648843,0.3693563128703852,0.27791705247588605,0.7017431829223264,0.31,0.34201768922194414,0.032017689221944125,0.036622744759625646,0.03420249238933599,0.06901367555982313,0.05516320851044592,1.5552580730155854,11.477438984375052,-18.832906033610524,33.88636978415098,52.7192758177615,33.88636978415098,1.2875942101713982,-1.94936340069725,3.7047181284409088,-10.745022309994058,7.73705686857408,18.48207917856814,10.745022309994058,0.27,0.3790136755598231,36.47154390956703,9.45742809982266,step_height_09_step_height_0p2200,step_height,0.22,0,roll_limit,0.8365167698140238,12.146954585999993,912.9199117436522,3.989724553572874,7.321466946413985,0.5,0.31,0.19,3.0,0.75,-5.0
